Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Direct GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude,Community Board,Census Tract,log_Order,log_Weather Normalized Site Electricity Intensity (kWh/ft²),log_Total GHG Emissions (Metric Tons CO2e),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Use (All Water Sources) (kgal),Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
5849784,90300.0,1950,1,100,126.0,1.2,440.9,7684.7,,,,,9.493713172839865,1.6486586255873816,6.353674146545189,6.0888180923638915,8.946986618125498,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4398442,52000.0,1926,1,100,95.4,0.9,217.9,,40.835496,-73.887745,3.0,161.0,8.906122330884303,1.547562508716013,5.695414224985685,5.384036241950574,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4665374,104700.0,1954,1,100,40.4,0.3,151.0,,40.663206,-73.949469,9.0,329.0,9.156834104453042,1.33500106673234,5.6394217154958115,5.017279836814924,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3393340,129333.0,1992,1,100,157.1,1.1,672.4,,40.622968,-74.078742,1.0,27.0,9.600624158088683,2.8273136219290276,7.232082635630662,6.510853401534461,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2704325,109896.0,1927,1,100,62.3,0.0,456.5,3493.9,40.782421,-73.972622,7.0,165.0,8.097426298597213,1.252762968495368,6.386879319362645,6.1235887000350235,8.158773869792155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2430725,182655.0,1929,1,90,52.9,0.2,248.8,1164.0,40.725136,-74.004438,2.0,37.0,6.966024187106113,2.272125885509337,6.926871396174367,5.516649360865024,7.059617628291383,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5737475,65400.0,1942,1,100,66.8,0.6,227.3,5122.7,40.637833,-73.973045,12.0,490.0,9.291551627401006,1.0986122886681098,5.715052066914432,5.426270730858498,8.541436922786701,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2670505,113150.0,1938,1,100,78.4,,431.4,3384.9,40.776035,-73.964418,8.0,142.0,8.361708288575842,1.7404661748405046,6.455827296463632,6.067035733955056,8.127079642812511,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2964670,137700.0,1959,1,100,63.0,0.5,478.4,7242.0,,,,,9.470702633773001,1.2237754316221157,6.505036396541998,6.170447202636422,8.887652690325586,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4414693,63693.0,1941,1,100,97.8,0.8,293.2,5605.4,,,,,9.491299898667137,1.4586150226995167,5.942799375126701,5.680854970012496,8.631485697812721,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
