	open	close
2018-02-27	23.53	24.16
2018-02-26	22.8	23.53
2018-02-23	22.88	22.82
2018-02-22	22.25	22.28
2018-02-14	21.49	21.92
2018-02-13	21.4	21.48
2018-02-12	20.7	21.19
2018-02-09	21.2	20.36
2018-02-08	21.79	21.88
2018-02-07	22.69	21.8
	open	close
2018-02-27	23.53	24.16
2018-02-26	22.8	23.53
2018-02-23	22.88	22.82
2018-02-22	22.25	22.28
2018-02-14	21.49	21.92
2018-02-13	21.4	21.48
2018-02-12	20.7	21.19
2018-02-09	21.2	20.36
2018-02-08	21.79	21.88
2018-02-07	22.69	21.8
	open	close
2018-02-27	23.53	24.16
2018-02-26	22.8	23.53
2018-02-23	22.88	22.82
2018-02-22	22.25	22.28
2018-02-14	21.49	21.92
2018-02-13	21.4	21.48
2018-02-12	20.7	21.19
2018-02-09	21.2	20.36
2018-02-08	21.79	21.88
2018-02-07	22.69	21.8
